sentiment,text
positive,using it once a week. works great.
positive,"Lightweight, but gets the job done at reasonable price. Will likely rust easily since made of steel."
positive,These fit perfectly! I was impressed by how thick the material is.
positive,Fitted to my 05 std cab. Perfect.
positive,"Great purchase, fits my Acura Rsx just like stock, they are much thicker so should create a much better seal"
positive,"Very flexible and tough phone mount, holds my phone securely through bumpy roads."
positive,I have a 13 year old Mercedes SL550. Pretty limited room for things and I needed something to hold my sunglasses . . . . This item fit the bill and was almost a perfect color match for the visor.
negative,I love the look of these. They are not easy to install and com unhooked often. However they are great quality! I have no idea how you are supposed to be able to use your rear buckles since they did not provide a cut out for them. So they are only great if you have long back seat belts and don't mind rebooking the fasteners all the time.
positive,"Nice item and well made, but it will only hold smaller purses, not tote sized ones"
positive,"They did a great job when they would stay up, but they always fell down. Would not recommend."
positive,[[VIDEOID:6d4273b98bbe3e4379b0d163acacaf1e]] Excellent light output on these bulbs. I purchased both the H11 (low beam) and 9005 (high beam) for my 2018 Toyota 4runner.<br />Packaging is excellent. Comes with gloves that are useful to help with the installation.  Gloves are a little snug but do have some stretch.  Took less than 5 minutes to install.  They seem a bit brighter than my previous Lasfit bulbs and have a more defined cutoff line. So far I like them but will know more with time.
positive,Loved how this Visor slides out and blocks the sun that comes in close to my rear view mirror. I consider this the blind area as that is where the sun seems to always hit when going thru the hills
negative,Looked great...for about 48hrs and that's when it rained. It streaked and ran onto my pretty wax job that I spent hours on. Looked like an oil slick....grrrrr. Won't use again.
positive,"works great, also is a good price. it is way bigger then it looks in pictures tho. good price on here<br /><br />After 3years it's still working great"
positive,"I put these on my Jeep, a bit shorter than factory. They fit better and work better on my 89 Cherokee than any I've tried. I even ordered refills and that will save big bucks on top of the savings buying here on Amazon. Parts stores and even Walmart rip you off big time for wipers nowadays, costly choices you can't refill later I could have spent 55.00 just for 2!"
positive,Great road grip and lovely white walls
positive,Exactly what i needed. Included installation instructions.
negative,"This not a &#34;puller fan&#34; as listed, it is a &#34;pusher&#34;. The 30100360 is the same fan but is a &#34;puller&#34;. Check the specs on the SPAL webpage for the fan you need. The product is fine, I have used many SPAL products, but if you want a &#34;puller&#34;, you will be sending this one back."
positive,"Like the other ones, works well on my 2500"
positive,Was an easy install for me. Perfect fit. For the price… it worth it for a replacement.
positive,OEM part at a discount price. The original part loosened up over time allowing a little dirt to get in. This new part is a much tighter fit.
positive,"If you are looking for something that will restore the vinyl trim on your car, this stuff is the bomb.  Works really well and lasts.  Our cars look brand new!"
positive,"Used on an 09 Malibu, they work great. Easy to install and with luck, will last longer than the stock ones that all seem to fall apart in the 8th year."
positive,Wish they had more types of mounts to use.
positive,Wasn't expecting to like these as much as I do. They match reasonably well with my grey upholstery and feel pretty sleek. Would recommend!
positive,"My car has a nice place to store these cables, so I immediately placed these there hardly expecting to need them.  I quickly found a need for these when a friend's car wouldn't start when we were departing camping, and needless to say AAA wasn't much of an option in the woods.  Neither was a shorter set of cables designed for nose to nose positioning, as the picnic tables, trees, and whatnot made only a nose to tail positioning of the cars work.  These long cables worked in that arrangement, and the cars went merrily on their way.<br /><br />The cables are sturdy, of the appropriate gauge, and flexible enough (the first two factors do make this last one a compromise, but it's well made).  The bag is a nice touch, as is the bright cable and clearly marked ends.  The jaws did their thing, and there's not much more to say.<br /><br />Recommended"
negative,Got these to fix my predator generator 3500 they are the right part just broken and horribly miss treated would not order through this company
positive,Works great.
negative,"This lamp is only rated for 85 hours.  Unfortunately, Sylvania makes it fairly difficult to find out before you buy it, but now you know.<br /><br />If your car has daytime running lights, like mine does, it's not even worth the time to install something with such a poor lifespan."
negative,My biggest complaint is that after adding these I have much less space on the seats. They work fine and look nice but they’re uncomfortable to have in place. I’m hoping I’ll get used to it over time.
positive,The quality is holding up over time quite well. Not a cheap cover but well constructed.
positive,"Before ordering these sensors had ordered a valve sensor that measured the tank levels with a dial indicator. They were worthless. They always measured full until the tanks weren't!! The Mopeka Tank Sensors installed easily and read the percentage levels of each tank whenever I look at the app on my phone. It was easy to go into the app and rename each Sensor to the tank they are located on. They work great and would order more if I needed more. Only problem we had was one of the batteries on the sensors was dead when we received them. After changing out the battery, everything worked GREAT!!"
negative,"Worst tires I've had. Blew through 3 of them in 7 months. I was stupid enough to buy the same ones. I recently did some research on other sites and see these are notorious for the sidewall blowing through or cracking.<br /><br />They did perform well in terms of hugging the road and skidding, even on wet roads.<br /><br />Disclaimer: I live in NYC. So perhaps if you live where the roads have no potholes and winter is warm, this might not affect you. First two tires blew in the summer. Last one in the winter."
positive,Great delivery.  Heavy duty.
negative,"Not a terrible sticker, but you can definitely tell it's not professionally done. Print job is quite evident. Was originally intended for my car but ended up putting it on a Pelican case."
positive,Good gauge easy to use and easy to read the dial.
positive,Perfect
positive,Just what I needed. I mow sandy lots in SW Florida and I don't get stuck half as much! I mow a lot of residential properties as well and I thought that these tires would be too aggressive for them ...I was right! I use a zero turn and If you take your time and make a slightly larger turn you can keep from turfing your lawn. I can chug up a hill slowly and hardly ever spin out. I'm very satisfied and I'll buy them again when I need to.
negative,"It quit working within 1 month. Trying to reach Terapump for assistance, but they are only open til 3pm of who knows which time zone. Will keep trying. I really liked this thing and would have given it 5 stars all around if it had worked longer than 1 month.  Can't rate value and ease of use and suction power on something that doesn't work.<br /><br />**UPDATE: Must send pump the them at MY expense for warranty replacement. LAME! Not good customer service. I spent $70 on this item that costs them $5 to make."
positive,Easy to install it's comfortable
positive,"I've used this brand for over 20 years, my car/ Motorcycle/Rv, Never disappointed."
positive,"This vacuum has both a blow and suck feature. Blow works awesome getting dust out from under keyboard keys / pc fans  / etc. Sucking power is adequate for small areas too. All in all, a must have for pc owners."
negative,"Much larger than expected. Too bulky to carry, I just leave it in my glove box."
positive,Strong and sturdy. Both college kids have one and it gets regular use.
positive,"These fit great and seem to be well made, but as a heads up... they are quite stiff making the hatch tough to close and fast to pop open. So, if you dont mind having to put a little more elbow grease into it... these are a good alternative to the pricier OEM option(s)."
negative,"Ehh this car wash is OK but nothing special at all, it barely shines my 2016 charger."
negative,A bit bigger than pictures depict so pay attention to the dimensions. Good color.
positive,"This didn’t come with instructions so I found a video on YouTube on how to install them.<br />After I figured it out they were relatively easy to install.<br />They look great, clean up well, and they are very comfortable.<br />Keep in mind, these are faux leather!"
positive,Great Price and product
negative,We were excited to get these and install them our selves box came quickly in about 4 days but we did t get the keys. We did try calling the manufacturer but ended up having to return the item. Doesn’t look to hard to install if we had everything. We searched everything about four times just to make sure neither of us were overlooking the keys.
positive,Nice stickers!
positive,Synthetic is a good investment...Royal Purple is an old name ...is it better ...I have no idea; I just wanted the best for my car.
negative,"not only were both mirrors left side. after 30 days on bike , riding at 25 mph the mirrors fold in and wont hold position. not from mount. at mirror ball joint. that is not adjustable. can not be tightened.  also chrome coating is starting to pit . had to remove fairing windshield to install and uninstall because mirror arm is too long and curved too much. removed from bike and put original mirrors back on. they are from 2009. and are still better looking and functioning then the new ones."
positive,I had a problem with my old license plate holder where it was vibrating so much that it was starting to wear away the paint. Threw this guy on instead and it seems like the problem has stopped.
positive,I bought these as a part of installing an aftermarket trailer hitch on my Subaru Outback.  I wanted to remove the rear bumper to access the hardware into the frame rather than wallowing out a hole.  They are exact replacements.  Very pleased.
positive,Magnetic spark plug sockets are a must for me.
positive,Wind resistant works very good... Thermo lining does the job.. Gets pretty warm. Everybody wants to know where I got it from...
positive,Great product! Great service! Thanks!
positive,"Over two months, and it hasn't lost any charge.  I will keep it in my trunk permanently, and have a reminder on my phone to check it once a month."
positive,"I used this tool this weekend to do the bearings on my 2010 Escape 4wd. It was quite a challenge, but it did get the bearings out and the new bearings back on!<br />I followed the advice of many others and I greased the threads as I was going along.<br />Overall, the kit seems very high quality. Had plenty of plates adn adapters and found some to fit no problem. Like others mentioned about the treads... I'm not really sure how much better they could make that bolt.... remember you are putting a LOT of torque on those bearings to get them out!<br />I wish they would sell the bolt by itself, or perhaps just include two of them, because that is the part most likely to get damaged, and you shouldn't have to buy the whole kit again to replace that one part. I didn't damage mine to the point I couldn't use it, but visibly there was some damage to the threads and I'm questioning whether it'd hold up to the abuse the next time I use it.<br />The manual wasn't all that helpful, but if you've done work on cars before and can figure some things out without too much effort."
negative,Hard to rate. fairly well made but functionally did not work well for my application.
negative,"Firmed up the steering wheel feel on my JL, but I ended up taking it off. When it's installed, it causes my JL to pull to the right. After taking it off the problem went away immediately. You'd be better off buying a Fox through shaft stabilizer or an oil filled / non-nitrogen charged stabilizer."
positive,"I have used quite a few other brands most have been brushed on but I've been getting excellent results with this in the Pontiac blue color. The durability, shine, and the ease of application are very good if you use thin coats and wait , you will be fine.  Do not try to glob it all on at once or you will definitely get drip marks. Paint seems to hold up well . These pictures do not do it justice. This almost looks multicolor like a mirage paint up close especially if you have used it over top of silver or newer brake calipers."
positive,Fits perfectly on my Ai power 4500/3500 Generator
positive,The product is just right for the application.<br />I like the adjustability. I started with soft setting then went to medium setting.<br />Even on soft there is a big difference in handling on my 09 Forester n/a.....
positive,"Wonderful carb for my needs. Bolted it on to a SunL kart with a 110cc honda clone engine and it runs perfectly now. I had been fighting the old carb for some time and was searching the web for a rebuild kit when I came across this. My only complaint/caution is the overflow tube is at the bottom (as pictured...so not really a fault of the product) which hits a head bolt in my setup. The outlet clears it but it is close enough that it the tube has to sit on the bolt head, which gets quite hot. I put a high-temp tube on and the problem was solved."
positive,I've had four of them for different jeeps. Love them.
positive,I rebuilt my blower carb with this kit and it runs like it did when I got it. Thank you
positive,"lighter than my previous one, more plastic!<br />Works fine. Small."
positive,"My brother-in-law needed this part for an old farm truck and asked if I knew where to find one as he could not locate any at the salvage yards.<br /><br />I told him I would check online and found this on Amazon and he was thrilled when I told him the price and I could have it to him in 3-5 days. He replaced the old cracked exhaust header, Now his truck is much quieter and it is not blowing flames out from under the hood."
positive,"I really like all the power in such a small format. I keep this in my SUV. I needed to jump my car from virtual dead (5.4 Liter V8 engine) and it worked like a charm. My lift truck at my laboratory had not been used in months and it would not start, used this power pack again and it worked like a charm. I highly recommend"
positive,I recently left a bad review I take it back it was my mistake not there's the product is all they say it is five stars
positive,"Affordable real synthetic? This is it. I’ve been running this oil in my daily drivers for years. I have done several samples with Blackstone. The oil truly out performs anything on the market. most people don’t understand what a true synthetic is. Group 1 through 3 baseoils make up 70% of the oil and the rest is additives. The first 3 groups are Dino oils. Group 4 and five are true synthetics. Torco has a three part series on YouTube that’ll really open your eyes on what a true synthetic is. That’s how I learned about this and for the last five years have never gone back to anything else. Oils are the life blood of your engine, if you love your car and want it to last give it only the best."
negative,The seat cover is fine but the tiny little hooks that came with the cover to attach to car seat are worthless! They are too small to hook on anything and couldn’t use them
positive,"Works perfectly to replace the bulbs in my RV.  Price was good, quality is good."
positive,"Looks great, but does not absorb anything."
positive,My door handle on the outside broke then caused my inside to stop working. I ordered this and it fits and works perfectly
positive,Awesome floor mats! Very pretty and colorful. I love them!
positive,"Stiffened the suspension, which is good.  These bushings do not have an outer shell.  The outer shell from the old bushing must stay in the pivot of the I-beam (hole the bushing is in).  These bushings are pressed into the old bushing's outer shell.  This means that any rubber remaining in the old bushing will have to be remove from the shell in order to install these new bushings.  The old bushing rubber is bonded to the outer shell.  I had to use a hammer, chisel and file, not easy, irritating.  Then I could not get all of the rubber out of the shell, so it was difficult getting these bushings to install in the old shell.  I had to get a couple of large washers and used the pivot bolts to press these into the shell before installation.  It also means that if the old bushing is worn too badly and the inner roller has fallen through the rubber and worn the outer shell, it may be ruined.  Make sure that your old bushings are not worn too badly and that you are willing to do some work to remove the older bushing rubber before you buy these.  The good side of using these bushings is that you do not have to remove the old bushings from the I-beam using a ball joint, or other type of press.  Hand tools can be used but be prepared to do some work under your vehicle to clean out the old bushing shells."
positive,Would purchase again. Very solid. Good value for the money.
negative,"This unit has been on a brand new marine battery for three years. The battery was used once when new to test and was kept on the tender, indoors, in a temp controlled room. It is now dead. Yes the light has been green for three years but I went to use it and it is almost completely dead and can barely run an emergency light. So not only did I waste money on this product but I lost a $100+ battery as well."
positive,Funny and I think any male who uses my restroom at work (who shouldn't be anyway) really<br />gets the hint.  Custodians love it!
negative,"DO NOT BUY THIS PRODUCT!  My goodness, where to I start.  THIS IS NOT WATERPROOF AS ADVERTISED.  My clothes are mildewed, my dry clean only clothes are ruined, my suitcases are destroyed.  All my winter jackets are wet.  We left from Arizona on our way to Maine, we go there, it snowed the next day we. had no dry gear to wear.  This company obviously did no research or has no quality control on their product."
positive,Replaced annoying newfangled spouts perfectly!
positive,Works great.
positive,Fast and perfecto
positive,great for suvs
negative,would not fit my truck it was a lost cause
positive,Thank you! Just as described. I went on YouTube and watched tutorials on how to install these door handles. They work great! Thank very much! You saved me money from having to spend a fortune at the mechanics.
positive,Just what I wanted great product
positive,"I tried everything but could not get rid off a thin sour smell in my second hand car. I washed a hundred times, used in-car little pines style odors, nothing worked. Then I used this, it is just gone. I am just happy."
positive,"It does what it says on the tin. The only reason to get copper anti-sieze over any other flavor is if you're working on exhaust nuts, collars, and/or gaskets. This is good high-temp anti-sieze that is a must for those applications. Try to get the exhaust nuts out of your engine head in a couple of years and you'll be so much happier for having used this stuff. Without it you may need a trip to the machine shop to drill and re-tap those holes."
positive,They were easy enough to install and look pretty freaking bright. I can't say much about the longevity of the bulbs just yet but being LED they should last a good long time.
positive,"I have 4 of these on different vehicles, and they all work great.  I also use Kat's battery wraps, and I heartily recommend them also.  I have the kind of job that I have to get to, so a reliable cold weather start during North Dakota winters is a must.  I use these in conjunction with Mobil 1 synthetic oil, and with the Kat's heater I never worry if my car or truck will start.  Kat's delivers on reliability and fair pricing IMO.  I recommend."
positive,Bueno
negative,"Very nice looking headlights but, they got moisture with the first carwash!<br />The lights needs to be adjusted!"
positive,"If you are running multiple relay activated accessories, this is the way to go about it. Link together as many as you need and mount them securely to your firewall. Now you can change a faulty relay without disturbing your wiring, just like factory relay assemblies. Use the Uxcel female 6.8mm spade terminals and some heat shrink tubing to link your wires in to this socket then seal them with silicone caulk. Use some dielectric grease on the relay. Now you've got a weather resistant assembly."
positive,"Really good price for 12 quarts.  These are wide necked bottles, so if you order  hand pump, double check its size for the neck.  Good for the home mechanic trying to save some dollars.  You may need 2 to 5 more quarts if trying to do a complete flush of the Ford 6R80 transmission."
positive,FIts my 2002 Acura TL perfectly. The noise is GONE
negative,I've had to put 3-4 slugs into my 2/0 copper ring terminal in order to have enough solder to make a solid connection. At this price I expected them to b a bit larger.
positive,Sturdy visor clip. Good quality material. Feels sturdy.
positive,"I purchased this to setup and put a boat on top.  So far, it is working great.  It's well built and very solid.  It has plenty of tie down options and hauls a boat or other cargo quite securely.  It's also pretty easy to pull the top bar off if you need it out of the way temporarily.  There are set screws on each side that have to come out and it's down.  Very easy, I would recommend these!"
negative,"Difficult to use. Requires a great deal of prep time. Does not adhere well. ""Repair"" is quite visible when completed."
negative,Decent for price but will boil batteries
positive,This item is better than the value. Packing is also perfect and I like delivery very quickly.
positive,"Excellent, thick tube for my dual sport, and this is one of only a couple tubes I could find in this 17 inch rim size."
positive,Bad boy on mamma’s Jeep
positive,Install was super easy.  Watched videos on youtube so I had an idea of what to expect.  Happy with the end result.
positive,It works just like a real chamois.
negative,"[[VIDEOID:99cdbf88807d512f33d6cf4ec4cfcf97]] Color is great, reflectiveness is nice, words are nicely displayed however these only lasted about 2.5 weeks before the driver decals started coming off all 3 magnets. Warning if you leave them on your car the magnet starts to become stuck to your car from the sun.  These would be great if the decals stayed attached to the magnet. Note I did not try to contact the seller so I can't attest to their customer service at this time."
positive,perfect for charging computer in the car
positive,So far this has worked great and I haven’t had any problems. It is very sturdy and easy to attach to my chair. I would definitely recommend.
positive,super strong battery . Thanks
positive,"Great for all size bikes, thick steal and sturdy"
negative,"This product has a critical flaw. The up side of the product is that the material is it made with seems sturdy and the stitching seems straight.  The problem comes from the grommet where the backup camera needs to protrude through the cover.  In order for the cover to fit and still be able to use the backup camera, you remove the factory supplied cover for the camera. The tire cover has a built in cover that replaces the factory one. It is there to protect t he camera when sliding the tire on or off of the carrier. To hold the grommet in place on the camera body, a small &#34;button&#34; snaps into place on the bottom of the camera body. There is a small nylon loop that attaches to the button to allow you to remove the cover to get to the tire. When the cover was sewn together, the nylon loop was sewn to the body of the cover rendering it useless. That means  once the cover is in place, snapped onto the camera body, there is no way to disengage the button to remove the cover. Without being able to remove the cover the lugs holding the tire to the rack  are inaccessible.  To get it off you would have to destroy the cover  and possibly the back up camera, or risk being stranded without access to the spare.  Huge product flaw.  The problem is that since this was a production flaw,  there is a good chance all of the covers from this manufacturer were sewn  this way.  Avoid this product until you  can guarantee that this critical  flaw is fixed."
positive,The Grimm Reaper graphic is awesome! A little hard to install but it all worked out.
positive,Perfect
positive,Better price than out in town. Even comes with instructions (even though I had already saw a video online).
negative,Shipped on time but only 3 out of six worked. Now I have to deal with returning them
positive,"What a nightmare to install!!!!  No fault of the filter, WIX makes EXCELLENT filters.  Fault of Mazda!  Only way to get to this thing is from directly under it, the lines are plastic and have couplings that must be lined up PERFECTLY straight to connect  And you can BARELY reach the top fitting with the TIPS of your fingers.  All the while, because your directly under the fuel tank, it is pouring gas out from gravity feed all over you.  Buy the filter and take it someplace to get installed!  What a nightmare this thing was!  NOTE:  Gasoline chemically burns your skin BAD and it takes a good week to heal."
positive,Meets a real need/lack on my 2018 Wrangler
negative,Installed in XJ with stock lift and only lasted 4 years. I recommend spending more for better part.
negative,The hitch is very difficult to install without a tool to remove the (5) rubber hangers that support the muffler system. It is also difficult to re-install the (5) rubber hangers after the hitch is in place because the hitch blocks access! The instructions say 1 hour for a professional to install the hitch. I would say more like 2.5 hours!
negative,Frame covers over the state and the bottom wording of the license plate may work for other states if the wording is not to big doesn’t work for a Connecticut plate
positive,"These things are UH-mazing! It took a little while to get them figured out. They're not complex by any means, but they aren't quite &#34;iPhone intuitive.&#34; (On that note, the iPhone app for them wasn't available when I first got my set, but now it is, and it helps out immensely. Just make sure that you have the updated firmware on your set, or the app won't detect them.)<br /><br />For me, the biggest challenge was speaker placement. I was literally about to return the set out of frustration because of poor audio. However, my friend could hear me great. I tried settings... I tried in my helmet's speaker pockets and out... I tried the included padding (i.e. closer to the ear) and tried without... I just couldn't get them to sound clear and bold! In the end, it was something simple (a.k.a. stupid). The speaker cutouts in my helmet are actually two inches behind my ears. Apparently I have a weird head. After doing some custom modifications to the helmet, the speakers were suddenly awesome!!<br /><br />These have exceptional range with decent functionality even without clear line of sight. The mice are amazing. The sound cancellation is superb. They can link up with Bluetooth devices and even have wired input. And, you can swap our for your own speakers or headphones, because the speakers aren't hardwired in! They have bump to pair, they're backwards compatible with older models, they can allow group convos, and so much more! These. Are. The BOMB!<br /><br />On our latest tour, three of us were chatting away on these while blasting down the freeway (80 MPH+) on sports bikes! While it's obviously not the same clarity as a cellphone or similar system, it's perfectly audible and understandable. #MindBlown<br /><br />I highly recommend!"
positive,it is adorable and so soft. it was a bit of a challenge to get it onto the steering wheel but i finally got it.  I love it
negative,"Not what you're hoping for. They look great...off. The halo is absolutely invisible during the day and really any other time it's not pitch black. The LED strip isn't very bright either. Definitely not like the new Chevy trucks that have the LED going through the middle of the headlight from left to right. Those are super bright during the day as well and that's what I wanted out of these. Most of the time, what's cool about halo lights is that you always see them day or night, with or without the headlights. Anyway...lesson learned. They've got the right idea and look, just not bright at all. Installation difficulty rating-7"
positive,The sewer hose supports definitely keeps the hose on the decline to allow great drainage.  Make sure you get the right amount for the size of hose you order.
positive,So far working great. These are like any other water proof switch designed for surface mount. If you are mounting them where the front and back can get wet you need to seal the seam of the 2 pieces of plastic and the wires. I used plumbers waterproof adhesive to do this (basically encapsulate the switch).
positive,"Not the easiest install, but worth it!"
positive,"The good: everything really. It’s heavy (but it’s metal, after all.<br />The bad: we have to return it. We are in Florida on the coast & thought it would be a bright idea to bring along these cans of gas if we needed to evacuate (Florida is just one very long crowded line to get out in emergencies & gas stations close, run out of gas, etc). What we found was there’s no SAFE way to do this unless you mount the cans onto the outside of your vehicle . Duh. They ALL present a danger  to transport INSIDE our car.<br />Now we DID buy the holder to go with it…thinking it would make it even more secure. Alas, it’s another return. We can’t mount it anywhere."
positive,Good price for a good quality filter. The nut on the end makes install/removal a breeze.
positive,"I purchased this as a replacement cover for the bedroom in my 2006 kingsport camper.  Installation was easy and it fit perfectly.  The only reason I did not give 4 stars is because it is not very dark.  I wanted ""shade"" in the bedroom and it is very light grey."
positive,"They're spark plugs, they look fine and don't look used/damaged. Not sure what else to say."
positive,Works in my Vespa
positive,Perfect replacement for my OEMs
positive,Perfect for my car. Works as advertised
positive,Worked great for us.
positive,Good
positive,This is the 3rd filter I've purchased from this manufacturer and all of them have served me well at a fraction of what it would cost for a lesser filter (non charcoal) at the local parts shop. The only filter that I believe does a better job specially for those with allergies are the Bosch HEPA filters but those cost more and don't have activated charcoal.
positive,I don't use that much metal polishing paste so the neat and sensible size package here works better for me than a tub with a pry-off lid.  Just squeeze out what you need for the job at hand and screw the top back on.  The familiar pink compound reacts to loosen tarnish and the fine grit in the mix aids in removing very light scratches.  A polish type of protective coat is deposited once the residue has been buffed away.  I LOVE how this works on a pewter wine coaster and it is just the thing for knife collectors or sportsmen to use in maintaining the polish on blade steels.  I have used it for that purpose for many years.
positive,Looks great
positive,Fine cable
positive,"Replaced my own cruise control, works like new."
negative,"Good for the price.  If you’re particular about your truck, you won’t like these.  Pay more for something better quality.<br /><br />The finish is fair; you can clearly see the mold lines on the exterior.  They also don’t fit very well; certainly not snug even after letting them warm up in the sun.<br /><br />Directions are terrible.  Poorly translated words that don’t make sense and pictures that contradict each other.  Plus the parts listing does not match up to the directions.  They were even folded the wrong way."
positive,works great
negative,"This thing isn't worth a dime! Doesn't have enough flow through hose, and next to impossible to keep shop air on it while holding nozzle in a/c line. Don't waste your money, I'm not too sure why I didn't read the other reviews."
positive,"This part fit my bike only after I hit two holes each with a drill press.  The electrical is great, wires were extra long, but the mounting holes were too small for the screws.  If I did not have the tool I could not have used this part."
positive,Perfect Side Rearview Mirrors for my Buddy 125 mopped / scooter / motorcycle.<br />Small enough that they don't stick out too much and hit things as I squeeze between cars at traffic lights but big enough that I can see behind me as I ride. So far they have resisted the elements and the bike falling over. They are great.
positive,Fit perfectly. Easy to install.
positive,"Ordered this on Thursday and, was cleaning the alloy wheels on the RV on Sunday..! Sprayed it on and let is sit for a few minutes, then hit with the hose on jet spray. Amazing, several years of road grime and stubborn brake dust melted off. Had to clean up my driveway from the run-off, but, that's a good problem. This stuff works..!! A great value for the results.."
positive,works well and fits my 2001 dodge grand caravan sport perfectly.
positive,"Highly scented, beautiful aroma."
negative,"This helmet and accessories are poor quality. The goggles were falling apart right out of the box. The top plastic decal on helmet was broken. I would not feel safe with this protecting my head, so I returned. It fit loose as well."
positive,Replaced OEM filter. This filter seems ok no issues.
negative,I have a horrible time with water being sucked in and then being taken right back out without going through my filter. I have tried adjusting my flow rate and nothing seems to work. Kinda a bummer because I know my water isn't getting filtered.
positive,"I bought all of the trim pieces available from flash2ning for my wife's 2019 Honda CR-V EX for her birthday. She was thrilled with the results. The pieces fit well and install easily. It probably took less than an hour to do the dash, front doors, console, and rear doors. The trim pieces all match and match the existing dash trim. All in all an excellent set of products that really break up the massive amount of black in the interior and makes the car look much more expensive. My wife loves the trim and many friends have commented on how nice it all looks. I definitely recommend all the trim pieces in this line."
negative,"they were as described but was to hard to get onto the seat.  But I am older and not as ply-able as I used to be, could not twist and turn to get them on."
positive,Did what expected:  turns plastic trim from- sun-gray to new-flat-black-like-new-appearance.
positive,Easy to install and seems to hold a lot. Very convenient and stays in place which is most important. It also fits nicely against my babys car seat which is also in the middle. Very nice looking as well
positive,I like the look it looks old but it’s not
positive,"If you have a riding mower that is hard to change the oil without making a mess, you will absolutely love this product. Purchase along with the Briggs & Stratton 796532 Hose Connector and that's it. Changing oil now is fast and truly a breeze without a mess!"
negative,Watch the  YouTube  videos to see how easy it is to pry this lock off with a crow bar with out any noise. I returned this lock in favor of a half inch security chain and a rated 5 padlock put around a wheel and axle.
positive,I liked it-perfect for what I needed
positive,Bought this so that I didn't have to tie up another cigarette lighter/power port and so that I could use an existing 4 port cigarette to USB adapter. Device worked VERY WELL to power the radar detector.
positive,I want to thank the folks at tuning pro for their understanding and expert help with installation information and a great product. You folks with Monteros can buy this product with confidence and remember if you have any questions just ask tuning pro hey are there to supply help and serve. I will post a picture after nstolation. Be sure you ask for surface prep cloth too.
positive,Very high quality from Gates at a very good price
positive,"The ONLY way to go to maintain even you older Benz'. Worth every penny, and a true bargain on Amazon."
positive,"Attachment holes lined up well with my vehicle.  Distance from right and left side extensions are not a perfect match to each other, but since you can't easily see them both at the same time, it's basically unnoticeable."
positive,Very cool she's loves it
positive,Major upgrade over factory lights
positive,Great price the only damage on it but looking at little scratch
positive,Helps great for my daughter buckling herself independently. Easy to use. Glad I finally decided to make the purchase.
positive,Came with everything pictured. Mainly wanted the zerk fitting to grease every now and then. It's moog they been around and trust for a long time now.<br />Install is straight forward. Thread the zerk on slowly and make sure it's straight before tightening down as most of these you're making the threads with the zerk.
positive,"There's no water bottle spot on the side of mine, but it does the trick.  I was hoping one of the pockets would be deep enough for a box of Kleenex, but it's not.  Still, it keeps me from just dumping everything in my seat and also makes it easy to access things like chargers and such."
positive,Added Safety at this value well worth every penny
positive,"Just installed in my SxS so I'm not sure how they hold up over time but out of the box they work perfect. Only thing I'd change is the words stay lit 100% of the time, so if your application will sit for long periods of time you just need to clip the red wire they supply and find a switched power source for one of the spades. Easy install, snapped in tight and plenty bright for night rides."
positive,Waiting to use for my power tools.
positive,True to size and a great microfiber. Leaves no scratches or lint. And picks up moisture fast also great for buffing and waxing car.
negative,"Two things ruin this device:<br />1. The 300 PSI gauge.  This means your window of interest (30-40 PSI) is about 2 millimeters in size and two tick marks.  So you have no granularity for reading the tire pressure.<br />2. The valve stem clamp is a hard plastic.  The first time I used it, the plastic formed to the stem threads and then wouldn't come off.  I had to really muscle it off, with the tire's air escaping the whole time.<br /><br />I recommend finding a different one."
positive,This thing is 100 times better than a scarf - love it.
positive,This tore inflator is super easy to use.  I don't know much about anything to do with a car but I can definitely use this. Its easy to read and easy to use. It comes with a cigarette lighter adapter so you can use it anywhere. This is accurate and works great and pumps a tire up very quickly. Great value for the money
positive,comfy
positive,In my 700..  its short so I will have a lot of reserve fuel ( good thing)
positive,Popped right in. Worked perfect.
positive,Looks good
positive,Great service and excellent product!
positive,"Great for Honda/integra, perfect fitment, no complains"
positive,I'm so happy that I got this. It's really nice to be able to plug this into the car and easily vacuum the car. It does a great job.
negative,The quality is horrible. I have had this on my bike less than 2 weeks and the d ring that hold the bag close to the bike ripped on one of the corners with very little weight in the bag. I was hoping to find a balance for quality and money but these fell short. I like the size and design but poor execute on craftsmanship.  I suggest moving on to better quality. Beginning of season two and the bags are in pieces.
positive,"I have had this unit for 4 years now, and I love it.  It uses little power and shuts off when it reaches temperature.  I take it on long weekends to keep meat in and use solar power to keep it running.  I think it is very quiet and have enjoyed using it for some time."
positive,Very durable but definitely a bit big and need adjustments if you want a custom fit.
positive,Hubs got tired of paying someone else money to change his oil and such and has started doing it for himself.  These filters listed here were probably one of the best values around and they come quickly.  Overall ... no regrets here.
negative,Had to modify flares in order to  accommodate body lines. Had to cut upper molding (with a  utility knife). Had to then fill in gap with black-silicon gasket cement. All in all not too bad.👍🏽👍🏽😏
positive,This addition to my car visor is a life saver for me. I have to avoid the sun all the time and it is hard when driving. This helps filter the rays when driving. I can take it off and use it on the passenger side when riding. This may sound strange but I wish it was larger.
positive,"purchased these for my 2013 Ram 1500, not a direct replacement but it still works great. I only needed the shell due to the lock button not working"
positive,As new OEM for a great price.
positive,"I bought this since I had some engine codes on my car at a smog check, after I fixed the problem, I used this instrument to clear the code. Excellent for minor fault codes."
